RIN Year,Fuel (D Code),Assignments,Total Generated,Total Retired,Total Available-Locked,Total Available-Unlocked
"2026","D3","Assigned","230,794,254","7,921,117","1,581,180","87,336,116"
"2026","D3","Separated","0","124,966","217,324","133,613,551"
"2026","D4","Assigned","1,570,531,758","16,143","53,935","420,769,305"
"2026","D4","Separated","0","130,150,770","2,294,048","1,017,247,557"
"2026","D5","Assigned","65,235,107","8,062","0","21,633,515"
"2026","D5","Separated","0","8,913,816","716,185","33,963,529"
"2026","D6","Assigned","3,599,401,535","1,864,652","656,420","770,308,912"
"2026","D6","Separated","0","96,240,182","5,255,641","2,725,075,728"
"2026","D7","Assigned","9,226","0","0","0"
"2026","D7","Separated","0","0","0","9,226"
